Notes,Age,Age Code,Gender,Gender Code,Yearly July 1st Estimates,Yearly July 1st Estimates Code,Population
,7 years,7,Female,F,2014,2014,2031241
,7 years,7,Female,F,2015,2015,2030190
,7 years,7,Female,F,2016,2016,1974558
,7 years,7,Female,F,2017,2017,1979770
,7 years,7,Female,F,2018,2018,1983207
Total,7 years,7,Female,F,,,39350579
,7 years,7,Male,M,1999,1999,2128808
,7 years,7,Male,M,2000,2000,2097092
,7 years,7,Male,M,2001,2001,2054047
,7 years,7,Male,M,2002,2002,2039312
,7 years,7,Male,M,2003,2003,2007360
,7 years,7,Male,M,2004,2004,1966777
,7 years,7,Male,M,2005,2005,1962661
,7 years,7,Male,M,2006,2006,1966492
,7 years,7,Male,M,2007,2007,2001256
,7 years,7,Male,M,2008,2008,2077462
,7 years,7,Male,M,2009,2009,2048522
,7 years,7,Male,M,2010,2010,2063100
,7 years,7,Male,M,2011,2011,2084121
,7 years,7,Male,M,2012,2012,2086088
,7 years,7,Male,M,2013,2013,2098705
,7 years,7,Male,M,2014,2014,2121430
,7 years,7,Male,M,2015,2015,2115700
,7 years,7,Male,M,2016,2016,2055836
,7 years,7,Male,M,2017,2017,2063187
,7 years,7,Male,M,2018,2018,2076156
Total,7 years,7,Male,M,,,41114112
Total,7 years,7,,,,,80464691
,8 years,8,Female,F,1999,1999,2034953
,8 years,8,Female,F,2000,2000,2034171
,8 years,8,Female,F,2001,2001,1998184
,8 years,8,Female,F,2002,2002,1962016
,8 years,8,Female,F,2003,2003,1946758
,8 years,8,Female,F,2004,2004,1920442
,8 years,8,Female,F,2005,2005,1888355
,8 years,8,Female,F,2006,2006,1881597
,8 years,8,Female,F,2007,2007,1887870
,8 years,8,Female,F,2008,2008,1919626
,8 years,8,Female,F,2009,2009,2002104
,8 years,8,Female,F,2010,2010,1971116
,8 years,8,Female,F,2011,2011,1985025
,8 years,8,Female,F,2012,2012,2003850
,8 years,8,Female,F,2013,2013,2003698
,8 years,8,Female,F,2014,2014,2014022
,8 years,8,Female,F,2015,2015,2037337
,8 years,8,Female,F,2016,2016,2036571
,8 years,8,Female,F,2017,2017,1980392
,8 years,8,Female,F,2018,2018,1986003
Total,8 years,8,Female,F,,,39494090
,8 years,8,Male,M,1999,1999,2135753
,8 years,8,Male,M,2000,2000,2130700
,8 years,8,Male,M,2001,2001,2101358
,8 years,8,Male,M,2002,2002,2058954
,8 years,8,Male,M,2003,2003,2044317
,8 years,8,Male,M,2004,2004,2012719
,8 years,8,Male,M,2005,2005,1973522
,8 years,8,Male,M,2006,2006,1970668
,8 years,8,Male,M,2007,2007,1975219
,8 years,8,Male,M,2008,2008,2010918
,8 years,8,Male,M,2009,2009,2087842
,8 years,8,Male,M,2010,2010,2054386
,8 years,8,Male,M,2011,2011,2067752
,8 years,8,Male,M,2012,2012,2088716
,8 years,8,Male,M,2013,2013,2090823
,8 years,8,Male,M,2014,2014,2104331
,8 years,8,Male,M,2015,2015,2127673
,8 years,8,Male,M,2016,2016,2122190
,8 years,8,Male,M,2017,2017,2061858
,8 years,8,Male,M,2018,2018,2069621
Total,8 years,8,Male,M,,,41289320
Total,8 years,8,,,,,80783410
,9 years,9,Female,F,1999,1999,2061580
,9 years,9,Female,F,2000,2000,2066565
,9 years,9,Female,F,2001,2001,2040960
,9 years,9,Female,F,2002,2002,2007242
,9 years,9,Female,F,2003,2003,1972876
,9 years,9,Female,F,2004,2004,1959620
,9 years,9,Female,F,2005,2005,1936186
,9 years,9,Female,F,2006,2006,1906898
,9 years,9,Female,F,2007,2007,1902338
,9 years,9,Female,F,2008,2008,1911282
,9 years,9,Female,F,2009,2009,1945940
,9 years,9,Female,F,2010,2010,2018346
,9 years,9,Female,F,2011,2011,1976337
,9 years,9,Female,F,2012,2012,1990300
,9 years,9,Female,F,2013,2013,2009485
,9 years,9,Female,F,2014,2014,2009703
,9 years,9,Female,F,2015,2015,2020221
,9 years,9,Female,F,2016,2016,2043787
,9 years,9,Female,F,2017,2017,2042514
,9 years,9,Female,F,2018,2018,1986805
Total,9 years,9,Female,F,,,39808985
,9 years,9,Male,M,1999,1999,2168489
,9 years,9,Male,M,2000,2000,2168780
,9 years,9,Male,M,2001,2001,2138270
,9 years,9,Male,M,2002,2002,2111604
,9 years,9,Male,M,2003,2003,2071389
,9 years,9,Male,M,2004,2004,2059114
,9 years,9,Male,M,2005,2005,2030883
,9 years,9,Male,M,2006,2006,1994856
,9 years,9,Male,M,2007,2007,1994550
,9 years,9,Male,M,2008,2008,2002071
,9 years,9,Male,M,2009,2009,2041124
,9 years,9,Male,M,2010,2010,2106966
,9 years,9,Male,M,2011,2011,2058993
,9 years,9,Male,M,2012,2012,2072434
,9 years,9,Male,M,2013,2013,2093580
,9 years,9,Male,M,2014,2014,2096382
