"","state","sport","boys_participation","girls_participation","total_participation","boys_rank","girls_rank","total_rank"
"295","NE","Cross Country",3375,2404,5779,5,6,5
"296","NE","Soccer",2888,2577,5465,7,5,6
"297","NE","Wrestling",4344,125,4469,4,11,7
"298","NE","Golf",2608,1391,3999,8,8,8
"299","NE","Football -- 8-player",2950,21,2971,6,12,9
"300","NE","Softball -- Fast Pitch",0,2696,2696,13,4,10
"301","NH","Soccer",3066,2563,5629,2,1,1
"302","NH","Track and Field -- Outdoor",2418,2067,4485,4,2,2
"303","NH","Basketball",2542,1890,4432,3,3,3
"304","NH","Lacrosse",1971,1678,3649,6,6,4
"305","NH","Football -- 11-Player",3339,15,3354,1,24,5
"306","NH","Track and Field -- Indoor",1295,1189,2484,7,9,6
"307","NH","Baseball",2352,4,2356,5,26,7
"308","NH","Cross Country",1210,914,2124,8,10,8
"309","NH","Volleyball",294,1667,1961,16,7,9
"310","NH","Softball -- Fast Pitch",0,1864,1864,24,4,10
"311","NJ","Track and Field -- Outdoor",20487,17593,38080,2,1,1
"312","NJ","Soccer",19964,14323,34287,3,2,2
"313","NJ","Basketball",15365,10188,25553,4,5,3
"314","NJ","Track and Field -- Indoor",13146,11418,24564,6,4,4
"315","NJ","Football -- 11-Player",23034,95,23129,1,20,5
"316","NJ","Lacrosse",10000,10007,20007,7,7,6
"317","NJ","Baseball",15103,21,15124,5,21,7
"318","NJ","Cross Country",8733,6097,14830,9,11,8
"319","NJ","Volleyball",4068,10142,14210,12,6,9
"320","NJ","Tennis",5772,6887,12659,10,9,10
"321","NM","Track and Field -- Outdoor",4296,3647,7943,2,2,1
"322","NM","Basketball",4111,3406,7517,3,3,2
"323","NM","Football -- 11-Player",6698,63,6761,1,14,3
"324","NM","Soccer",2468,2135,4603,5,5,4
"325","NM","Volleyball",2,3756,3758,15,1,5
"326","NM","Baseball",3131,45,3176,4,16,6
"327","NM","Cross Country",1572,1326,2898,7,7,7
"328","NM","Softball -- Fast Pitch",0,2550,2550,16,4,8
"329","NM","Competitive Spirit Squad",122,1887,2009,12,6,9
"330","NM","Wrestling",1642,136,1778,6,13,10
"331","NV","Football -- 11-Player",6238,0,6238,1,13,1
"332","NV","Track and Field -- Outdoor",3323,2577,5900,2,2,2
"333","NV","Basketball",3057,2387,5444,3,4,3
"334","NV","Soccer",2437,2451,4888,5,3,4
"335","NV","Volleyball",1093,2975,4068,8,1,5
"336","NV","Baseball",2482,0,2482,4,13,6
"337","NV","Softball -- Fast Pitch",0,2168,2168,15,5,7
"338","NV","Swimming & Diving",814,1316,2130,9,7,8
"339","NV","Cross Country",1210,838,2048,7,8,9
"340","NV","Flag Football",0,1816,1816,15,6,10
"341","NY","Track and Field -- Outdoor",23730,22118,45848,2,1,1
"342","NY","Soccer",23229,21111,44340,3,2,2
"343","NY","Basketball",20078,15805,35883,4,5,3
"344","NY","Football -- 11-Player",30210,43,30253,1,23,4
"345","NY","Track and Field -- Indoor",14562,13990,28552,6,7,5
"346","NY","Lacrosse",14542,12099,26641,7,8,6
"347","NY","Volleyball",3949,15726,19675,14,6,7
"348","NY","Baseball",19104,10,19114,5,24,8
"349","NY","Cross Country",10388,7983,18371,9,10,9
"350","NY","Tennis",8523,8717,17240,10,9,10
"351","OH","Track and Field -- Outdoor",27426,23963,51389,2,1,1
"352","OH","Football -- 11-Player",42637,45,42682,1,29,2
"353","OH","Basketball",23111,15045,38156,3,5,3
"354","OH","Soccer",18458,16071,34529,5,4,4
"355","OH","Cross Country",12809,10446,23255,6,6,5
"356","OH","Baseball",22580,298,22878,4,20,6
"357","OH","Volleyball",3616,17568,21184,13,3,7
"358","OH","Softball -- Fast Pitch",1004,17907,18911,17,2,8
"359","OH","Tennis",6374,7057,13431,9,7,9
"360","OH","Swimming & Diving",5470,6884,12354,11,8,10
"361","OK","Basketball",10093,7535,17628,2,1,1
"362","OK","Football -- 11-Player",14075,9,14084,1,14,2
"363","OK","Track and Field -- Outdoor",6870,5523,12393,4,3,3
"364","OK","Baseball",8685,29,8714,3,13,4
"365","OK","Soccer",4070,3636,7706,5,6,5
"366","OK","Softball -- Fast Pitch",0,6685,6685,13,2,6
"367","OK","Cross Country",3349,3051,6400,6,8,7
"368","OK","Competitive Spirit Squad",117,5485,5602,12,4,8
"369","OK","Softball -- Slow Pitch",0,4265,4265,13,5,9
"370","OK","Wrestling",3326,92,3418,7,12,10
"371","OR","Track and Field -- Outdoor",9526,7289,16815,2,1,1
"372","OR","Basketball",7620,5824,13444,3,3,2
"373","OR","Soccer",6397,5398,11795,4,4,3
"374","OR","Football -- 11-Player",11708,46,11754,1,13,4
"375","OR","Volleyball",0,7086,7086,14,2,5
"376","OR","Cross Country",3928,2998,6926,7,6,6
"377","OR","Baseball",5596,10,5606,5,14,7
"378","OR","Tennis",2161,2905,5066,8,7,8
"379","OR","Wrestling",4321,498,4819,6,12,9
"380","OR","Swimming & Diving",1933,2685,4618,9,8,10
"381","PA","Track and Field -- Outdoor",24320,24360,48680,2,1,1
"382","PA","Basketball",21660,21390,43050,3,2,2
"383","PA","Soccer",20265,19145,39410,5,4,3
"384","PA","Football -- 11-Player",25605,0,25605,1,18,4
"385","PA","Cross Country",11440,11500,22940,6,5,5
"386","PA","Baseball",21152,0,21152,4,18,6
"387","PA","Swimming & Diving",9720,10110,19830,7,7,7
"388","PA","Softball -- Fast Pitch",0,19530,19530,17,3,8
